"case_id","family","structure","n_theta","n_obs","balance","regime","status","glmm_status","mm_status","n_eval_glmm","n_eval_mm","eval_ratio","dev_glmm","dev_mm","wall_glmm","wall_mm","per_eval_glmm","per_eval_mm"
"lmm_int2x_g300p20_bal_nearzero","gaussian","int2x",2,300,"bal","nearzero","ok","ok","ok",31,33,0.939393939393939,596.7804167271,596.7804167271,0.000115708,0.000505386,3.73251612903226e-06,1.53147272727273e-05
"lmm_int2x_g300p20_bal_lowsnr","gaussian","int2x",2,300,"bal","lowsnr","ok","ok","ok",35,36,0.972222222222222,1505.82747114493,1505.82747114493,0.000129936,0.00051997,3.71245714285714e-06,1.44436111111111e-05
"lmm_int2x_g3000p5_bal_base","gaussian","int2x",2,3000,"bal","base","ok","ok","ok",35,33,1.06060606060606,7347.9540831697,7347.95408316972,0.000656286,0.005757514,1.87510285714286e-05,0.000174470121212121
"lmm_int2x_g3000p5_skew_base","gaussian","int2x",2,3000,"skew","base","ok","ok","ok",36,42,0.857142857142857,6741.97642539238,6741.97642539246,0.003354726,0.00587347,9.31868333333333e-05,0.000139844523809524
"lmm_int2x_g3000p5_single_base","gaussian","int2x",2,3000,"single","base","ok","ok","ok",33,43,0.767441860465116,7975.71410297053,7975.71410297051,0.007385957,0.005319186,0.000223816878787879,0.000123702
"lmm_int2x_g3000p5_bal_nearzero","gaussian","int2x",2,3000,"bal","nearzero","ok","ok","ok",48,32,1.5,5520.33253070509,5520.33253070507,0.000759541,0.005373244,1.58237708333333e-05,0.000167913875
"lmm_int2x_g3000p5_bal_lowsnr","gaussian","int2x",2,3000,"bal","lowsnr","ok","ok","ok",33,40,0.825,15591.4143322073,15591.4143322073,0.000633203,0.006411956,1.91879696969697e-05,0.0001602989
"lmm_int2x_g3000p20_bal_base","gaussian","int2x",2,3000,"bal","base","ok","ok","ok",41,33,1.24242424242424,6196.87474015281,6196.87474015278,0.00056372,0.002681593,1.37492682926829e-05,8.12603939393939e-05
"lmm_int2x_g3000p20_skew_base","gaussian","int2x",2,3000,"skew","base","ok","ok","ok",35,31,1.12903225806452,5963.57229167906,5963.57229167909,0.001305044,0.002667306,3.72869714285714e-05,8.60421290322581e-05
"lmm_int2x_g3000p20_single_base","gaussian","int2x",2,3000,"single","base","ok","ok","ok",31,29,1.06896551724138,7207.60862061739,7207.60862061738,0.004496452,0.006963372,0.000145046838709677,0.000240116275862069
"lmm_int2x_g3000p20_bal_nearzero","gaussian","int2x",2,3000,"bal","nearzero","ok","ok","ok",44,40,1.1,5701.08712535745,5701.08712535754,0.000599288,0.00315341,1.36201818181818e-05,7.883525e-05
"lmm_int2x_g3000p20_bal_lowsnr","gaussian","int2x",2,3000,"bal","lowsnr","ok","ok","ok",30,63,0.476190476190476,15391.0265241666,15391.0265241666,0.000478958,0.003458645,1.59652666666667e-05,5.4899126984127e-05
"lmm_int2x_g3000p100_bal_base","gaussian","int2x",2,3000,"bal","base","ok","ok","ok",54,40,1.35,5773.36020538169,5773.36020538169,0.000368248,0.001355581,6.81940740740741e-06,3.3889525e-05
"lmm_int2x_g30000p5_bal_base","gaussian","int2x",2,30000,"bal","base","ok","ok","ok",55,37,1.48648648648649,71155.2562511991,71155.2562512055,0.003981052,0.05943057,7.23827636363636e-05,0.00160623162162162
"lmm_int2x_g30000p20_bal_base","gaussian","int2x",2,30000,"bal","base","ok","ok","ok",63,32,1.96875,60599.3712857617,60599.3712857613,0.002654054,0.025772001,4.21278412698413e-05,0.00080537503125
"lmm_int2x_g30000p100_bal_base","gaussian","int2x",2,30000,"bal","base","ok","ok","ok",44,30,1.46666666666667,56645.3426812428,56645.3426812456,0.001752125,0.030872792,3.98210227272727e-05,0.00102909306666667
"lmm_nest2_g300p5_bal_base","gaussian","nest2",2,300,"bal","base","ok","ok","ok",28,30,0.933333333333333,850.483798861221,850.48379886122,0.000399716,0.001188499,1.42755714285714e-05,3.96166333333333e-05
"lmm_nest2_g300p20_bal_base","gaussian","nest2",2,300,"bal","base","ok","ok","ok",33,31,1.06451612903226,695.656154700775,695.65615470078,0.000201986,0.000835877,6.12078787878788e-06,2.69637741935484e-05
"lmm_nest2_g3000p5_bal_base","gaussian","nest2",2,3000,"bal","base","ok","ok","ok",27,36,0.75,8553.6249336699,8553.62493366989,0.003146242,0.00473713,0.000116527481481481,0.000131586944444444
"lmm_nest2_g3000p20_bal_base","gaussian","nest2",2,3000,"bal","base","ok","ok","ok",38,29,1.31034482758621,6846.68694660486,6846.68694660483,0.001272174,0.002230678,3.34782631578947e-05,7.69199310344828e-05
